race,GOV14D,GOV14R,GOV14None
WVAP,0.06 (0.0455-0.075),0.4351 (0.4165-0.4497),0.5049 (0.4848-0.5244)
OVAP,0.3471 (0.1722-0.5208),0.2281 (0.0618-0.4465),0.4247 (0.1986-0.66)
