race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0085 (0.0049-0.0138),0.0003 (0.0001-0.0006),0.9912 (0.9859-0.9949)
OVAP,0.2145 (0.1443-0.2686),0.0145 (0.01-0.0188),0.771 (0.7175-0.8411)
