race,GOV18D,GOV18R,GOV18None
WVAP,0.0643 (0.0476-0.0834),0.5178 (0.4989-0.5327),0.418 (0.3953-0.4372)
OVAP,0.4418 (0.2149-0.6435),0.2199 (0.0504-0.442),0.3384 (0.1157-0.6079)
