race,SEN16D,SEN16R,SEN16None
WVAP,0.192 (0.1701-0.2164),0.4863 (0.4635-0.5073),0.3217 (0.3113-0.3287)
OVAP,0.548 (0.2631-0.803),0.3534 (0.1099-0.6206),0.0986 (0.0273-0.2167)
