race,PRES16D,PRES16R,PRES16None
WVAP,0.1819 (0.1598-0.2056),0.4709 (0.4481-0.4906),0.3472 (0.3358-0.3544)
OVAP,0.5587 (0.2895-0.8175),0.3368 (0.1071-0.5976),0.1045 (0.0297-0.2311)
