race,COMP18D,COMP18R,COMP18None
WVAP,0.2929 (0.2696-0.3119),0.2814 (0.2619-0.2957),0.4257 (0.4038-0.4466)
OVAP,0.3271 (0.1095-0.5946),0.2589 (0.0987-0.4859),0.414 (0.174-0.6707)
