race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.016 (0.0115-0.0214),0.0024 (0.0011-0.0039),0.0032 (0.0014-0.0054),0.0008 (0.0003-0.0015),0.0036 (0.002-0.0057),0.9739 (0.9676-0.9794)
OVAP,0.1297 (0.0666-0.1843),0.0603 (0.0399-0.0797),0.073 (0.0453-0.0989),0.0349 (0.0247-0.0432),0.0671 (0.0403-0.0904),0.635 (0.5651-0.7116)
