race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0662 (0.0529-0.0786),0.0089 (0.0047-0.0147),0.925 (0.9114-0.9385)
OVAP,0.2727 (0.1259-0.4285),0.1745 (0.098-0.233),0.5528 (0.3913-0.713)
