race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0617 (0.0512-0.0721),0.0077 (0.0049-0.0111),0.9306 (0.9198-0.9408)
BVAP,0.3204 (0.1215-0.5441),0.1508 (0.057-0.2604),0.5288 (0.2967-0.7365)
HVAP,0.306 (0.1182-0.5481),0.1311 (0.0407-0.2605),0.5629 (0.3312-0.7709)
OVAP,0.3489 (0.1162-0.6193),0.2801 (0.1326-0.4509),0.3711 (0.1461-0.6298)
