race,COMP14D,COMP14R,COMP14None
WVAP,0.2047 (0.1833-0.2204),0.2894 (0.2727-0.3026),0.506 (0.4846-0.529)
OVAP,0.2907 (0.1063-0.5423),0.2301 (0.0762-0.4256),0.4792 (0.2137-0.7273)
