race,COMP14D,COMP14R,COMP14None
WVAP,0.2017 (0.1873-0.2136),0.2845 (0.2731-0.2959),0.5138 (0.5001-0.5272)
BVAP,0.3385 (0.1217-0.6125),0.2677 (0.0917-0.508),0.3938 (0.1277-0.6519)
HVAP,0.3146 (0.0928-0.592),0.2728 (0.0791-0.5362),0.4126 (0.1333-0.6839)
OVAP,0.3161 (0.0833-0.6104),0.3239 (0.0983-0.5997),0.3601 (0.1008-0.6607)
