race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0058 (0.0031-0.0085),0.0128 (0.0095-0.0161),0.0097 (0.0068-0.0128),0.9717 (0.9668-0.9763)
BVAP,0.1039 (0.0261-0.1937),0.1026 (0.0292-0.1979),0.1167 (0.0424-0.2092),0.6769 (0.5387-0.8102)
HVAP,0.0929 (0.0263-0.1889),0.1071 (0.0322-0.206),0.1189 (0.0368-0.2271),0.681 (0.5249-0.8226)
OVAP,0.236 (0.1031-0.3759),0.1979 (0.0809-0.3471),0.1829 (0.0619-0.3266),0.3832 (0.1825-0.5985)
