race,SEN18D,SEN18R,SEN18None
WVAP,0.1933 (0.1705-0.2148),0.3451 (0.3263-0.3597),0.4616 (0.438-0.4818)
OVAP,0.3652 (0.1126-0.6295),0.2312 (0.0585-0.4517),0.4035 (0.1715-0.6791)
