race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0207 (0.0145-0.0268),0.0014 (0.0005-0.0027),0.0128 (0.0082-0.018),0.9651 (0.9572-0.9729)
OVAP,0.1469 (0.0742-0.2232),0.064 (0.0448-0.0794),0.1213 (0.0566-0.1835),0.6678 (0.5691-0.7642)
