race,AG14D,AG14R,AG14None
WVAP,0.1223 (0.1028-0.1395),0.3371 (0.3208-0.3494),0.5405 (0.5198-0.5608)
OVAP,0.3014 (0.1021-0.5342),0.2194 (0.0782-0.4112),0.4792 (0.2434-0.7224)
