race,SEN12D,SEN12R,SEN12None
WVAP,0.168 (0.1489-0.1853),0.3406 (0.3211-0.3546),0.4914 (0.4707-0.5128)
OVAP,0.3413 (0.1416-0.5636),0.2173 (0.0573-0.442),0.4414 (0.1942-0.683)
