race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0076 (0.0039-0.0121),0.0156 (0.0109-0.0201),0.0115 (0.0074-0.0161),0.9654 (0.9575-0.9729)
OVAP,0.1208 (0.0634-0.1709),0.1 (0.0437-0.1574),0.1171 (0.0603-0.1714),0.6621 (0.5642-0.7608)
