race,AG18D,AG18R,AG18None
WVAP,0.1895 (0.169-0.2109),0.3914 (0.3704-0.4053),0.4191 (0.3981-0.4376)
OVAP,0.3881 (0.1386-0.629),0.2312 (0.0716-0.4766),0.3807 (0.1648-0.6304)
