race,PRES12D,PRES12R,PRES12None
WVAP,0.2061 (0.1844-0.2249),0.4676 (0.4489-0.4819),0.3264 (0.304-0.3477)
OVAP,0.4127 (0.1959-0.6656),0.235 (0.0702-0.4543),0.3524 (0.1027-0.6135)
