race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0073 (0.0044-0.0111),0.0002 (0.0001-0.0004),0.9925 (0.9887-0.9954)
BVAP,0.1605 (0.0615-0.2877),0.0115 (0.0031-0.024),0.8279 (0.6986-0.9288)
HVAP,0.1731 (0.0597-0.3137),0.018 (0.0054-0.0355),0.8089 (0.6687-0.9221)
OVAP,0.3677 (0.1573-0.5637),0.021 (0.0073-0.0374),0.6112 (0.4147-0.8222)
