race,PRES12D,PRES12R,PRES12None
WVAP,0.2038 (0.1844-0.2239),0.1376 (0.1309-0.1444),0.6586 (0.6384-0.6777)
OVAP,0.3808 (0.3718-0.3899),0.0029 (0.0018-0.0043),0.6163 (0.6075-0.6254)
