race,PRES12D,PRES12R,PRES12None
WVAP,0.2561 (0.2342-0.2783),0.1234 (0.114-0.1328),0.6204 (0.5977-0.6427)
BVAP,0.4001 (0.3907-0.4096),0.0024 (0.0015-0.0037),0.5975 (0.588-0.6067)
HVAP,0.0538 (0.0194-0.1029),0.0365 (0.0111-0.0715),0.9096 (0.8492-0.9519)
OVAP,0.1244 (0.0479-0.225),0.028 (0.0101-0.0524),0.8476 (0.7399-0.9293)
