race,PRES16D,PRES16R,PRES16None
WVAP,0.243 (0.2183-0.2682),0.0893 (0.0793-0.0996),0.6676 (0.6416-0.6937)
BVAP,0.2705 (0.258-0.2832),0.0052 (0.0032-0.008),0.7242 (0.7113-0.7369)
HVAP,0.068 (0.0248-0.1371),0.0839 (0.0499-0.1268),0.8481 (0.7738-0.908)
OVAP,0.125 (0.0492-0.2424),0.077 (0.0429-0.1109),0.798 (0.6717-0.8824)
