race,GOV18D,GOV18R,GOV18None
WVAP,0.1712 (0.1524-0.1914),0.1628 (0.1464-0.1793),0.666 (0.6421-0.6892)
OVAP,0.1629 (0.1553-0.1707),0.0434 (0.0386-0.0485),0.7937 (0.7848-0.8024)
