race,SEN12D,SEN12R,SEN12None
WVAP,0.228 (0.2087-0.2467),0.0614 (0.0534-0.0695),0.7106 (0.6904-0.7316)
BVAP,0.3302 (0.3221-0.3383),0.0027 (0.0017-0.0041),0.6671 (0.6588-0.6752)
HVAP,0.044 (0.0111-0.1),0.0625 (0.0323-0.0976),0.8935 (0.832-0.946)
OVAP,0.1179 (0.0532-0.2112),0.1193 (0.0823-0.1598),0.7627 (0.6538-0.8397)
