race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0154 (0.0114-0.02),0.0293 (0.0245-0.0343),0.0645 (0.0578-0.0713),0.8908 (0.8811-0.9002)
OVAP,0.0672 (0.0647-0.07),0.0139 (0.0124-0.0156),0.0169 (0.015-0.0189),0.902 (0.8984-0.9055)
