race,SEN16D,SEN16R,SEN16None
WVAP,0.2348 (0.2127-0.2567),0.0949 (0.0831-0.1074),0.6703 (0.6467-0.6942)
BVAP,0.2579 (0.246-0.2706),0.0059 (0.0037-0.0086),0.7361 (0.7236-0.7484)
HVAP,0.074 (0.0301-0.143),0.0941 (0.0487-0.1517),0.832 (0.7403-0.9061)
OVAP,0.1241 (0.0532-0.2343),0.1946 (0.1274-0.2591),0.6812 (0.5504-0.7936)
