race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1445 (0.1309-0.159),0.0328 (0.0239-0.0434),0.8227 (0.8057-0.8381)
OVAP,0.0451 (0.0408-0.0496),0.1296 (0.1242-0.1352),0.8253 (0.8185-0.8319)
