race,COMP18D,COMP18R,COMP18None
WVAP,0.2703 (0.2471-0.2924),0.0565 (0.0468-0.0672),0.6732 (0.6486-0.6986)
BVAP,0.2035 (0.193-0.2146),0.0051 (0.0032-0.0076),0.7914 (0.7804-0.802)
HVAP,0.0518 (0.0153-0.1138),0.0673 (0.03-0.1127),0.8809 (0.8083-0.9387)
OVAP,0.0951 (0.0348-0.1678),0.1649 (0.1086-0.221),0.74 (0.6442-0.8284)
