race,AG14D,AG14R,AG14None
WVAP,0.1628 (0.145-0.1805),0.0738 (0.0647-0.0833),0.7634 (0.7437-0.7828)
BVAP,0.19 (0.1814-0.1991),0.0044 (0.0028-0.0064),0.8056 (0.7963-0.8144)
HVAP,0.042 (0.0165-0.0771),0.0664 (0.0335-0.1079),0.8916 (0.8345-0.9378)
OVAP,0.081 (0.0327-0.156),0.0716 (0.0314-0.1103),0.8474 (0.7589-0.9209)
