race,AG14D,AG14R,AG14None
WVAP,0.1443 (0.1285-0.1601),0.0946 (0.0868-0.1026),0.7611 (0.7439-0.7789)
OVAP,0.1806 (0.1726-0.1886),0.0056 (0.0038-0.0078),0.8138 (0.8057-0.8219)
