race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0687 (0.0614-0.0768),0.0064 (0.0041-0.0096),0.0261 (0.0209-0.0316),0.8987 (0.889-0.9079)
OVAP,0.037 (0.0346-0.0393),0.0232 (0.0218-0.0245),0.0349 (0.0328-0.0371),0.905 (0.9016-0.9083)
