race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0545 (0.0486-0.0606),0.0174 (0.0139-0.0213),0.0216 (0.0184-0.0252),0.0111 (0.0094-0.0129),0.0295 (0.0255-0.0336),0.8659 (0.8571-0.8742)
OVAP,0.0405 (0.0382-0.0428),0.024 (0.0224-0.0257),0.0047 (0.0038-0.0056),0.001 (0.0007-0.0015),0.0149 (0.0135-0.0162),0.915 (0.9119-0.9181)
