race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0369 (0.0307-0.0439),0.0041 (0.0025-0.0064),0.959 (0.9516-0.9655)
OVAP,0.0563 (0.0536-0.0589),0.0169 (0.0162-0.0175),0.9269 (0.9241-0.9297)
