race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0577 (0.0508-0.0647),0.0183 (0.0143-0.0224),0.0151 (0.0116-0.019),0.0064 (0.0045-0.0086),0.028 (0.0235-0.0327),0.8744 (0.8647-0.8846)
BVAP,0.0416 (0.039-0.0443),0.0252 (0.0233-0.0272),0.0033 (0.0024-0.0044),0.0009 (0.0006-0.0013),0.015 (0.0135-0.0167),0.914 (0.9102-0.9176)
HVAP,0.0129 (0.004-0.0252),0.0151 (0.0065-0.0274),0.0122 (0.005-0.0225),0.0084 (0.0037-0.0151),0.011 (0.0047-0.0208),0.9404 (0.9177-0.9591)
OVAP,0.0363 (0.0092-0.0699),0.0193 (0.0062-0.0387),0.06 (0.0345-0.0884),0.0198 (0.0102-0.0293),0.0326 (0.015-0.0573),0.832 (0.7749-0.8788)
