race,AG18D,AG18R,AG18None
WVAP,0.2357 (0.2144-0.2573),0.1055 (0.0947-0.1168),0.6588 (0.636-0.6812)
OVAP,0.1952 (0.1859-0.2045),0.0101 (0.0076-0.013),0.7947 (0.785-0.8043)
