race,COMP14D,COMP14R,COMP14None
WVAP,0.1635 (0.1474-0.1808),0.0862 (0.077-0.0956),0.7503 (0.7318-0.7683)
OVAP,0.1839 (0.1763-0.1919),0.0099 (0.0077-0.0126),0.8062 (0.798-0.8139)
