race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.07 (0.0615-0.0784),0.0059 (0.0038-0.0088),0.0273 (0.0221-0.033),0.8968 (0.8866-0.9066)
BVAP,0.0379 (0.0352-0.0405),0.0234 (0.0217-0.0251),0.0358 (0.0335-0.0382),0.903 (0.8993-0.9066)
HVAP,0.0175 (0.0071-0.0338),0.0155 (0.0071-0.0268),0.0261 (0.0114-0.0461),0.9409 (0.9145-0.9625)
OVAP,0.0365 (0.011-0.0761),0.0379 (0.0191-0.0576),0.0281 (0.0101-0.0569),0.8975 (0.8494-0.9378)
