race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1403 (0.126-0.1543),0.043 (0.032-0.0544),0.8168 (0.7991-0.8345)
BVAP,0.0456 (0.0411-0.0504),0.1354 (0.1291-0.1419),0.8191 (0.8111-0.8267)
HVAP,0.0353 (0.0127-0.0704),0.0308 (0.011-0.0612),0.9339 (0.8914-0.9679)
OVAP,0.0734 (0.0249-0.1449),0.0895 (0.0252-0.167),0.8371 (0.7361-0.917)
