race,SEN18D,SEN18R,SEN18None
WVAP,0.2622 (0.2389-0.2845),0.0549 (0.0463-0.063),0.6829 (0.6598-0.7081)
BVAP,0.2033 (0.1931-0.214),0.0041 (0.0026-0.0063),0.7925 (0.7817-0.8028)
HVAP,0.0552 (0.0142-0.1077),0.0719 (0.0433-0.1089),0.8729 (0.8031-0.9275)
OVAP,0.1027 (0.0455-0.201),0.0816 (0.0485-0.1171),0.8157 (0.7185-0.8881)
