race,SEN18D,SEN18R,SEN18None
WVAP,0.2394 (0.2193-0.2595),0.0829 (0.0754-0.0905),0.6777 (0.6563-0.6987)
OVAP,0.1957 (0.1865-0.2053),0.005 (0.0033-0.0072),0.7993 (0.7896-0.8085)
