race,SEN12D,SEN12R,SEN12None
WVAP,0.1861 (0.1693-0.2033),0.0841 (0.0765-0.0924),0.7298 (0.7121-0.7476)
OVAP,0.3142 (0.3069-0.3214),0.0057 (0.0043-0.0074),0.6801 (0.6728-0.6876)
