race,COMP14D,COMP14R,COMP14None
WVAP,0.184 (0.1663-0.2025),0.0607 (0.0511-0.0714),0.7553 (0.7354-0.7751)
BVAP,0.1932 (0.1841-0.2025),0.0056 (0.0036-0.0083),0.8013 (0.7917-0.8105)
HVAP,0.0422 (0.0183-0.0844),0.0648 (0.0326-0.1092),0.893 (0.8356-0.9403)
OVAP,0.0841 (0.0341-0.1598),0.1863 (0.086-0.2571),0.7296 (0.629-0.8377)
