race,SEN16D,SEN16R,SEN16None
WVAP,0.2101 (0.1901-0.2303),0.131 (0.1213-0.1416),0.6589 (0.638-0.68)
OVAP,0.2457 (0.2349-0.2568),0.0097 (0.0071-0.0129),0.7446 (0.7332-0.7557)
