race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0404 (0.0337-0.0476),0.0037 (0.0022-0.0058),0.956 (0.9484-0.9629)
BVAP,0.0584 (0.0555-0.0613),0.0192 (0.0182-0.0203),0.9225 (0.9193-0.9254)
HVAP,0.016 (0.0075-0.0294),0.0073 (0.0039-0.0124),0.9767 (0.9615-0.9872)
OVAP,0.046 (0.019-0.0845),0.0086 (0.0047-0.0148),0.9454 (0.9057-0.9737)
