race,PRES16D,PRES16R,PRES16None
WVAP,0.2155 (0.1946-0.2373),0.1196 (0.1111-0.128),0.6649 (0.6419-0.6866)
OVAP,0.2577 (0.2464-0.2692),0.006 (0.0038-0.0087),0.7363 (0.7247-0.7478)
