race,COMP18D,COMP18R,COMP18None
WVAP,0.2462 (0.2257-0.2672),0.0896 (0.0801-0.0993),0.6642 (0.6421-0.6855)
OVAP,0.1953 (0.1859-0.2048),0.0079 (0.0056-0.0106),0.7968 (0.7871-0.8065)
