race,GOV14D,GOV14R,GOV14None
WVAP,0.1048 (0.0892-0.1206),0.1481 (0.1354-0.161),0.7472 (0.7277-0.7659)
OVAP,0.1834 (0.176-0.1912),0.0129 (0.0101-0.0161),0.8037 (0.7955-0.8116)
