,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
297,Harford,2076,Harford Precinct 01-018,1562,400,44,414,544,70,2076,1,0.7524084778420038,0.1926782273603083,0.02119460500963391,0.03371868978805395,1118,0.1994219653179191,0.26204238921001927,0.5385356454720617
298,Harford,1794,Harford Precinct 01-017,1518,125,33,222,519,118,1794,1,0.8461538461538461,0.06967670011148272,0.01839464882943144,0.06577480490523968,1053,0.12374581939799331,0.28929765886287623,0.5869565217391305
299,Harford,3477,Harford Precinct 01-016,2382,746,187,693,664,162,3477,1,0.6850733390854185,0.21455277538107564,0.05378199597354041,0.04659188955996549,2120,0.1993097497842968,0.1909692263445499,0.6097210238711533
300,Harford,3030,Harford Precinct 01-020,1753,850,175,808,541,252,3030,1,0.5785478547854785,0.28052805280528054,0.057755775577557754,0.08316831683168317,1681,0.26666666666666666,0.17854785478547855,0.5547854785478548
301,Harford,2453,Harford Precinct 03-020,2282,100,26,384,982,45,2453,1,0.9302894415002039,0.040766408479412965,0.01059926620464737,0.018344883815735832,1087,0.15654300856094577,0.4003261312678353,0.44313086017121894
302,Harford,2703,Harford Precinct 03-002,2479,89,60,434,1023,75,2703,1,0.9171291157972623,0.032926378098409176,0.022197558268590455,0.02774694783573807,1246,0.1605623381428043,0.37846836847946724,0.46096929337772846
303,Harford,1877,Harford Precinct 02-003,1397,383,40,321,354,57,1877,1,0.7442727757059137,0.20404901438465636,0.021310602024507193,0.030367607884922748,1202,0.17101758124667021,0.18859882791688865,0.6403835908364411
304,Harford,327,Harford Precinct 02-001,263,49,5,106,119,10,327,1,0.8042813455657493,0.14984709480122324,0.01529051987767584,0.03058103975535168,102,0.3241590214067278,0.363914373088685,0.3119266055045872
305,Harford,2551,Harford Precinct 02-015,1517,749,107,563,367,178,2551,1,0.5946687573500588,0.2936103488827911,0.041944335554684437,0.0697765582124657,1621,0.22069776558212464,0.14386515092120736,0.6354370834966679
306,Harford,3443,Harford Precinct 02-010,1918,1078,200,646,387,247,3443,1,0.5570723206505954,0.31309904153354634,0.05808887598024978,0.07173976183560848,2410,0.1876270694162068,0.11240197502178333,0.6999709555620098
307,Harford,2679,Harford Precinct 02-014,1630,801,113,444,207,135,2679,1,0.6084359835759612,0.2989921612541993,0.0421799178798059,0.05039193729003359,2028,0.16573348264277715,0.07726763717805152,0.7569988801791714
