race,PRES12D,PRES12R,PRES12None
WVAP,0.2181 (0.1662-0.2619),0.3229 (0.2852-0.3494),0.4589 (0.4081-0.5119)
OVAP,0.3051 (0.119-0.5222),0.1523 (0.0427-0.3121),0.5426 (0.3179-0.7582)
