race,COMP18D,COMP18R,COMP18None
WVAP,0.1928 (0.1577-0.223),0.2025 (0.1724-0.2278),0.6048 (0.5672-0.6477)
BVAP,0.2319 (0.0776-0.428),0.1877 (0.0564-0.3601),0.5804 (0.347-0.7842)
HVAP,0.3234 (0.0985-0.6057),0.3276 (0.0972-0.6153),0.349 (0.1142-0.605)
OVAP,0.3462 (0.129-0.6155),0.3295 (0.0913-0.6046),0.3242 (0.0997-0.6243)
