race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0432 (0.0267-0.0589),0.0121 (0.0035-0.0247),0.9447 (0.9251-0.9643)
OVAP,0.1132 (0.0456-0.188),0.1406 (0.083-0.182),0.7462 (0.6581-0.8331)
