race,SEN12D,SEN12R,SEN12None
WVAP,0.1561 (0.1085-0.2054),0.2179 (0.1847-0.2423),0.626 (0.5713-0.6753)
OVAP,0.3497 (0.142-0.5527),0.1524 (0.0501-0.2962),0.4979 (0.2894-0.7255)
