race,GOV14D,GOV14R,GOV14None
WVAP,0.0848 (0.0517-0.1192),0.3099 (0.2673-0.3421),0.6053 (0.5563-0.6569)
OVAP,0.2422 (0.0965-0.3887),0.1838 (0.0502-0.3693),0.574 (0.3551-0.7801)
