race,PRES16D,PRES16R,PRES16None
WVAP,0.1495 (0.1049-0.1873),0.3023 (0.2649-0.3334),0.5482 (0.5013-0.6047)
OVAP,0.244 (0.0818-0.4345),0.1868 (0.0558-0.3463),0.5693 (0.3331-0.768)
