race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0114 (0.0056-0.0181),0.0012 (0.0003-0.0027),0.0031 (0.0011-0.0059),0.0011 (0.0004-0.0022),0.011 (0.005-0.0183),0.9723 (0.9621-0.9819)
OVAP,0.061 (0.0316-0.0883),0.017 (0.0104-0.0225),0.0298 (0.0161-0.0403),0.0126 (0.0075-0.0169),0.0623 (0.0304-0.0905),0.8173 (0.7721-0.8625)
