race,SEN16D,SEN16R,SEN16None
WVAP,0.1613 (0.1206-0.1987),0.2866 (0.2491-0.3175),0.552 (0.5064-0.6007)
OVAP,0.2347 (0.077-0.4094),0.1965 (0.0678-0.3567),0.5688 (0.3699-0.7602)
