race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0144 (0.0059-0.0249),0.0022 (0.0005-0.0049),0.0086 (0.003-0.0167),0.9748 (0.9605-0.9865)
OVAP,0.0848 (0.0387-0.1258),0.0407 (0.028-0.05),0.0869 (0.0501-0.1141),0.7876 (0.733-0.853)
