race,COMP18D,COMP18R,COMP18None
WVAP,0.2041 (0.1593-0.2384),0.2124 (0.1702-0.2432),0.5835 (0.5371-0.6417)
OVAP,0.2147 (0.0702-0.407),0.1868 (0.058-0.3647),0.5985 (0.3531-0.7928)
