race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0335 (0.0221-0.0457),0.0072 (0.0018-0.0149),0.9593 (0.9448-0.9714)
BVAP,0.0981 (0.0329-0.1728),0.0968 (0.0481-0.1552),0.8051 (0.7146-0.894)
HVAP,0.2874 (0.0951-0.5229),0.313 (0.0968-0.5632),0.3996 (0.1503-0.6782)
OVAP,0.3017 (0.1155-0.5273),0.3223 (0.133-0.5268),0.3761 (0.1652-0.6363)
