race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0069 (0.0031-0.0131),0.0015 (0.0003-0.0034),0.9915 (0.9849-0.9958)
BVAP,0.0742 (0.0331-0.1221),0.0207 (0.0081-0.0359),0.9051 (0.8559-0.9488)
HVAP,0.2139 (0.0585-0.3994),0.0911 (0.0312-0.1636),0.695 (0.4994-0.8557)
OVAP,0.316 (0.1171-0.4868),0.0672 (0.0189-0.124),0.6168 (0.4406-0.8139)
