race,COMP14D,COMP14R,COMP14None
WVAP,0.1431 (0.1004-0.1805),0.2462 (0.2021-0.2748),0.6107 (0.5616-0.6674)
OVAP,0.2477 (0.0899-0.431),0.1729 (0.0537-0.3599),0.5793 (0.3411-0.7881)
