race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0102 (0.0032-0.0214),0.0017 (0.0004-0.004),0.988 (0.9765-0.9955)
OVAP,0.1191 (0.0675-0.1547),0.0357 (0.0258-0.0428),0.8452 (0.8085-0.898)
