race,SEN18D,SEN18R,SEN18None
WVAP,0.1654 (0.1212-0.2017),0.2429 (0.2024-0.2717),0.5918 (0.5446-0.6468)
OVAP,0.2317 (0.0797-0.422),0.1688 (0.0481-0.3415),0.5996 (0.3686-0.7979)
